com.samsung.shealth.sleep,6307003,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total_sleep_time_weight,original_efficiency,mental_recovery,wake_score,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,deep_score,integrated_id,latency_weight,has_sleep_data,bedtime_detection_delay,sleep_efficiency_with_latency,wakeup_time_detection_delay,total_rem_duration,combined_id,nap_score,sleep_type,sleep_latency,data_version,latency_score,deep_weight,rem_weight,physical_recovery,original_wake_up_time,movement_awakening,is_integrated,original_bed_time,goal_bed_time,quality,extra_data,wake_weight,rem_score,goal_wake_up_time,sleep_cycle,total_light_duration,efficiency,sleep_score,sleep_duration,stage_analyzed_type,total_sleep_time_score,com.samsung.health.sleep.create_sh_ver,com.samsung.health.sleep.start_time,com.samsung.health.sleep.custom,com.samsung.health.sleep.modify_sh_ver,com.samsung.health.sleep.update_time,com.samsung.health.sleep.create_time,com.samsung.health.sleep.client_data_id,com.samsung.health.sleep.client_data_ver,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.deviceuuid,com.samsung.health.sleep.comment,com.samsung.health.sleep.pkg_name,com.samsung.health.sleep.end_time,com.samsung.health.sleep.datauuid
,,15,,20,54,10,65,85,481,96,1,74,0,,,,0,,,,,,,,,3,,,,68,,43,,,,,45a63d34-8067-4111-b043-7ddfb4f43e95.extra_data.json,,,,4,,82,68,481,,,,30:00.0,,,36:33.1,36:17.6,,,UTC+0530,NBSTvGygd/,,com.sec.android.app.shealth,31:00.0,45a63d34-8067-4111-b043-7ddfb4f43e95
,,39,,15,15,1,26,27,114,88,1,26,0,,,,0,,,,,,,,,3,,,,31,,48,,,,,819d3302-4bb1-43d2-8482-26ace026d55a.extra_data.json,,,,1,,76,57,114,,,,02:00.0,,,02:01.3,01:57.4,,,UTC+0530,NBSTvGygd/,,com.sec.android.app.shealth,56:00.0,819d3302-4bb1-43d2-8482-26ace026d55a
,,75,,25,25,0,0,17,174,144,0,17,0,,,,0,,,,,,,,,3,,,,39,,20,,,,,c903a819-ab06-46cd-a034-3c0277075783.extra_data.json,,,,1,,90,66,174,,,,55:00.0,,,42:28.6,25:41.6,,,UTC+0530,BAL2wTUNJW,,com.sec.android.app.shealth,49:00.0,c903a819-ab06-46cd-a034-3c0277075783
,,46,,33,78,4,39,53,516,104,1,36,0,,,,0,,,,,,,,,3,,,,79,,21,,,,,926629ca-24d9-4524-a7b6-007de0a0d4c5.extra_data.json,,,,5,,89,74,516,,,,27:00.0,,,10:58.3,10:21.9,,,UTC+0530,NBSTvGygd/,,com.sec.android.app.shealth,03:00.0,926629ca-24d9-4524-a7b6-007de0a0d4c5
,,44,,43,45,2,16,28,283,143,2,20,0,,,,0,,,,,,,,,3,,,,56,,18,,,,,b1f1bb4d-18a5-49c4-bea7-bc3771aa63bb.extra_data.json,,,,2,,90,52,283,,,,52:00.0,,,40:39.6,40:33.7,,,UTC+0530,ws0Z2n1c+Y,,com.sec.android.app.shealth,35:00.0,b1f1bb4d-18a5-49c4-bea7-bc3771aa63bb
,,39,,25,78,1,16,78,471,75,4,66,0,,,,0,,,,,,,,,3,,,,77,,32,,,,,c77c6c31-1db1-4adf-a7b3-fdb7c5058344.extra_data.json,,,,5,,83,71,471,,,,58:00.0,,,53:38.5,53:30.8,,,UTC+0530,ws0Z2n1c+Y,,com.sec.android.app.shealth,49:00.0,c77c6c31-1db1-4adf-a7b3-fdb7c5058344
,,28,,22,44,0,27,30,281,53,3,27,0,,,,0,,,,,,,,,3,,,,60,,20,,,,,7781032c-5620-465b-a4e2-9a84b4607dec.extra_data.json,,,,3,,89,56,281,,,,34:00.0,,,34:57.5,34:52.1,,,UTC+0530,kURNlahrg+,,com.sec.android.app.shealth,15:00.0,7781032c-5620-465b-a4e2-9a84b4607dec
,,54,,60,89,4,11,39,423,161,2,18,0,,,,0,,,,,,,,,3,,,,78,,16,,,,,436aaf1a-580d-4033-b121-47f708694f3e.extra_data.json,,,,3,,90,77,423,,,,24:00.0,,,40:54.4,54:49.9,,,UTC+0530,BAL2wTUNJW,,com.sec.android.app.shealth,27:00.0,436aaf1a-580d-4033-b121-47f708694f3e
,,88,,21,38,0,7,46,395,82,0,33,0,,,,0,,,,,,,,,3,,,,59,,20,,,,,7addf321-ab3a-4a6d-bcf1-c733b40d66f2.extra_data.json,,,,5,,88,78,395,,,,24:00.0,,,30:59.7,30:30.9,,,UTC+0530,BAL2wTUNJW,,com.sec.android.app.shealth,59:00.0,7addf321-ab3a-4a6d-bcf1-c733b40d66f2
,,53,,35,48,1,32,52,558,88,1,31,0,,,,0,,,,,,,,,3,,,,80,,16,,,,,fe49edbf-11ea-46bc-a1e7-e207c6125775.extra_data.json,,,,5,,90,73,558,,,,55:00.0,,,13:42.6,13:34.3,,,UTC+0530,ws0Z2n1c+Y,,com.sec.android.app.shealth,13:00.0,fe49edbf-11ea-46bc-a1e7-e207c6125775
,,65,,38,42,2,5,45,330,163,1,34,0,,,,0,,,,,,,,,3,,,,55,,25,,,,,2931a3d3-fe5d-4003-8886-68639febe30c.extra_data.json,,,,2,,86,62,330,,,,59:00.0,,,32:41.3,32:30.7,,,UTC+0530,NBSTvGygd/,,com.sec.android.app.shealth,29:00.0,2931a3d3-fe5d-4003-8886-68639febe30c
,,64,,20,21,5,6,12,182,94,1,9,0,,,,0,,,,,,,,,3,,,,38,,17,,,,,54c8d426-55d2-44fa-863f-b94edde722b6.extra_data.json,,,,2,,93,64,182,,,,24:00.0,,,31:09.5,31:05.3,,,UTC+0530,ws0Z2n1c+Y,,com.sec.android.app.shealth,26:00.0,54c8d426-55d2-44fa-863f-b94edde722b6
,,12,,35,72,3,63,67,369,135,1,60,0,,,,0,,,,,,,,,3,,,,67,,37,,,,,28fd83b9-9cc7-44d5-8907-864ace807c8b.extra_data.json,,,,3,,81,69,369,,,,58:00.0,,,16:58.3,16:25.1,,,UTC+0530,ws0Z2n1c+Y,,com.sec.android.app.shealth,07:00.0,28fd83b9-9cc7-44d5-8907-864ace807c8b
,,52,,7,24,3,18,22,200,86,1,18,0,,,,0,,,,,,,,,3,,,,35,,23,,,,,0b6d0d0d-8c66-4c5d-82b7-4b0c8f3fd8c5.extra_data.json,,,,2,,89,55,200,,,,17:00.0,,,48:27.9,48:22.6,,,UTC+0530,ws0Z2n1c+Y,,com.sec.android.app.shealth,37:00.0,0b6d0d0d-8c66-4c5d-82b7-4b0c8f3fd8c5
,,75,,63,83,0,5,61,304,137,0,53,0,,,,0,,,,,,,,,3,,,,76,,38,,,,,ae845145-a95c-4d64-bab4-3c5e5f05066a.extra_data.json,,,,2,,79,71,304,,,,24:00.0,,,52:11.3,47:16.1,,,UTC+0530,BAL2wTUNJW,,com.sec.android.app.shealth,28:00.0,ae845145-a95c-4d64-bab4-3c5e5f05066a
,,49,,42,42,4,16,27,156,122,1,23,0,,,,0,,,,,78a35778-75e8-4535-8377-ba0ac462bfbd,,,,3,,,,56,,35,,,,,0ccf2fa1-f7e3-4b25-a757-5994b5fd24e2.extra_data.json,,,,1,,82,54,156,,,,50:00.0,,,33:52.7,33:49.1,,,UTC+0530,ws0Z2n1c+Y,,com.sec.android.app.shealth,26:00.0,0ccf2fa1-f7e3-4b25-a757-5994b5fd24e2
,,50,,27,44,0,15,41,414,61,2,33,0,,,,0,,,,,,,,,3,,,,70,,18,,,,,ce43f7b0-8d61-4601-aefd-7ff0ef77ca0a.extra_data.json,,,,3,,90,75,414,,,,14:00.0,,,14:49.0,14:43.5,,,UTC+0530,BAL2wTUNJW,,com.sec.android.app.shealth,08:00.0,ce43f7b0-8d61-4601-aefd-7ff0ef77ca0a
,,37,,28,28,7,28,35,148,120,1,28,0,,,,0,,,,,,,,,3,,,,43,,48,,,,,ecb66fb7-afc1-401a-847b-dfd8eac81a15.extra_data.json,,,,1,,76,57,148,,,,46:00.0,,,20:14.0,20:10.1,,,UTC+0530,NBSTvGygd/,,com.sec.android.app.shealth,14:00.0,ecb66fb7-afc1-401a-847b-dfd8eac81a15
,,70,,0,15,0,0,0,20,0,0,0,0,,,,0,,,,,,,,,3,,,,77,,0,,,,,281cac54-3d87-4ae3-a4dc-284af644d20e.extra_data.json,,,,0,,100,60,20,,,,01:00.0,,,40:42.2,40:40.1,,,UTC+0530,U9To5WTAjE,,com.sec.android.app.shealth,21:00.0,281cac54-3d87-4ae3-a4dc-284af644d20e
,,62,,17,17,8,8,16,182,92,1,10,0,,,,0,,,,,,,,,3,,,,35,,23,,,,,ad81c915-b112-4662-bef6-f7cfe7e0e274.extra_data.json,,,,2,,91,57,182,,,,43:00.0,,,51:04.4,50:39.6,,,UTC+0530,giB7OVEpS2,,com.sec.android.app.shealth,45:00.0,ad81c915-b112-4662-bef6-f7cfe7e0e274
,,77,,11,16,2,3,49,237,54,0,36,0,,,,0,,,,,,,,,3,,,,39,,40,,,,,8ffa2734-b432-404f-8759-196407c09466.extra_data.json,,,,2,,79,61,237,,,,38:00.0,,,42:35.8,42:28.6,,,UTC+0530,ws0Z2n1c+Y,,com.sec.android.app.shealth,35:00.0,8ffa2734-b432-404f-8759-196407c09466
,,1,,57,86,8,64,89,620,200,3,77,0,,,,0,,,,,,,,,3,,,,87,,31,,,,,66597993-458f-4d2a-aa4f-14e72d2edbcc.extra_data.json,,,,5,,85,54,620,,,,46:00.0,,,26:22.6,25:01.6,,,UTC+0530,ws0Z2n1c+Y,,com.sec.android.app.shealth,06:00.0,66597993-458f-4d2a-aa4f-14e72d2edbcc
,,65,,27,44,2,10,43,391,140,1,32,0,,,,0,,,,,,,,,3,,,,58,,21,,,,,c4529b83-95e4-45e9-a387-f59f36a160b5.extra_data.json,,,,3,,89,70,391,,,,20:00.0,,,56:23.0,56:14.9,,,UTC+0530,ws0Z2n1c+Y,,com.sec.android.app.shealth,51:00.0,c4529b83-95e4-45e9-a387-f59f36a160b5
,,79,,9,9,10,1,12,235,161,0,6,0,,,,0,,,,,,,,,3,,,,30,,14,,,,,b41baa5d-9b74-494d-8eaf-aa5064c804d7.extra_data.json,,,,2,,94,61,235,,,,56:00.0,,,53:21.1,12:24.7,,,UTC+0530,ws0Z2n1c+Y,,com.sec.android.app.shealth,51:00.0,b41baa5d-9b74-494d-8eaf-aa5064c804d7
,,73,,7,28,15,2,56,226,74,0,48,0,,,,0,,,,,,,,,3,,,,39,,66,,,,,d24a73a2-c4d5-477a-97a2-2591143cd042.extra_data.json,,,,1,,75,66,226,,,,48:00.0,,,39:07.7,39:01.3,,,UTC+0530,BAL2wTUNJW,,com.sec.android.app.shealth,34:00.0,d24a73a2-c4d5-477a-97a2-2591143cd042
,,61,,7,7,4,4,8,99,99,1,4,0,,,,0,,,,,,,,,3,,,,20,,16,,,,,3cef812d-5496-497d-964e-adea050b76b9.extra_data.json,,,,1,,91,67,99,,,,18:00.0,,,02:23.1,02:19.6,,,UTC+0530,ws0Z2n1c+Y,,com.sec.android.app.shealth,57:00.0,3cef812d-5496-497d-964e-adea050b76b9
,,78,,52,77,5,2,23,438,138,0,13,0,,,,0,,,,,,,,,3,,,,76,,12,,,,,b43f816b-5965-4c01-b81c-faecf6c02faf.extra_data.json,,,,2,,94,83,438,,,,54:00.0,,,02:27.0,05:07.3,,,UTC+0530,ws0Z2n1c+Y,,com.sec.android.app.shealth,12:00.0,b43f816b-5965-4c01-b81c-faecf6c02faf
,,13,,10,10,24,32,56,152,126,3,52,0,,,,0,,,,,,,,,3,,,,25,,90,,,,,fa0ecbc5-b3e4-4fbe-8ede-84512f4136e2.extra_data.json,,,,1,,63,42,152,,,,37:00.0,,,27:54.3,27:50.3,,,UTC+0530,ws0Z2n1c+Y,,com.sec.android.app.shealth,09:00.0,fa0ecbc5-b3e4-4fbe-8ede-84512f4136e2
,,73,,71,71,44,2,102,348,257,0,93,0,,,,0,,,,,,,,,3,,,,66,,73,,,,,6bd6c222-6799-4150-bc7c-f18e4caabfbc.extra_data.json,,,,1,,70,67,348,,,,32:00.0,,,25:24.7,25:19.3,,,UTC+0530,giB7OVEpS2,,com.sec.android.app.shealth,20:00.0,6bd6c222-6799-4150-bc7c-f18e4caabfbc
,,73,,24,56,1,2,35,218,110,0,29,0,,,,0,,,,,,,,,3,,,,56,,30,,,,,15089c12-6c50-423b-8d0d-b0ca7017bdc2.extra_data.json,,,,1,,83,72,218,,,,42:00.0,,,30:07.8,30:02.8,,,UTC+0530,BAL2wTUNJW,,com.sec.android.app.shealth,20:00.0,15089c12-6c50-423b-8d0d-b0ca7017bdc2
,,82,,28,67,1,3,76,453,70,0,62,0,,,,0,,,,,,,,,3,,,,76,,32,,,,,0ace9b5e-6a32-49d0-a824-8a5609ffada8.extra_data.json,,,,3,,83,85,453,,,,00:00.0,,,39:58.3,39:42.4,,,UTC+0530,BAL2wTUNJW,,com.sec.android.app.shealth,33:00.0,0ace9b5e-6a32-49d0-a824-8a5609ffada8
,,71,,17,17,3,4,9,159,103,0,0,0,,,,0,,,,,,,,,3,,,,33,,9,,,,,83633169-78cf-4548-a336-009fd0ac0f63.extra_data.json,,,,1,,94,75,159,,,,19:00.0,,,31:20.4,20:31.1,,,UTC+0530,BAL2wTUNJW,,com.sec.android.app.shealth,58:00.0,83633169-78cf-4548-a336-009fd0ac0f63
,,42,,28,66,1,13,32,272,76,3,21,0,,,,0,,,,,,,,,3,,,,66,,21,,,,,ed8e524e-c7aa-4945-b0ed-dfea4283e3ab.extra_data.json,,,,3,,88,66,272,,,,45:00.0,,,23:23.8,23:17.3,,,UTC+0530,NBSTvGygd/,,com.sec.android.app.shealth,17:00.0,ed8e524e-c7aa-4945-b0ed-dfea4283e3ab
,,80,,44,45,11,5,24,306,112,0,14,0,,,,0,,,,,,,,,3,,,,61,,22,,,,,a2fe9b19-06be-4ff2-8e30-bce69c382018.extra_data.json,,,,3,,92,77,306,,,,10:00.0,,,21:46.8,21:29.3,,,UTC+0530,BAL2wTUNJW,,com.sec.android.app.shealth,16:00.0,a2fe9b19-06be-4ff2-8e30-bce69c382018
,,77,,27,70,0,3,39,241,68,0,34,0,,,,0,,,,,,,,,3,,,,69,,30,,,,,02143603-5558-499a-9a5d-5c93a9c09f66.extra_data.json,,,,2,,83,72,241,,,,46:00.0,,,54:27.7,54:20.5,,,UTC+0530,ws0Z2n1c+Y,,com.sec.android.app.shealth,47:00.0,02143603-5558-499a-9a5d-5c93a9c09f66
,,30,,51,87,0,40,48,412,109,2,43,0,,,,0,,,,,,,,,3,,,,81,,22,,,,,2ead82d4-bf25-44a6-90dd-1dfb9b280a94.extra_data.json,,,,4,,88,75,412,,,,27:00.0,,,24:22.0,24:14.2,,,UTC+0530,ws0Z2n1c+Y,,com.sec.android.app.shealth,19:00.0,2ead82d4-bf25-44a6-90dd-1dfb9b280a94
,,48,,22,76,0,22,28,390,56,2,21,0,,,,0,,,,,,,,,3,,,,74,,13,,,,,1bdc5edd-bd7e-4984-a72e-6cf963c3a0bc.extra_data.json,,,,4,,92,67,390,,,,00:00.0,,,47:07.0,46:58.7,,,UTC+0530,NBSTvGygd/,,com.sec.android.app.shealth,30:00.0,1bdc5edd-bd7e-4984-a72e-6cf963c3a0bc
