com.samsung.shealth.exercise,6307003,17
live_data_internal,mission_value,race_target,subset_data,start_longitude,routine_datauuid,total_calorie,completion_status,pace_info_id,activity_type,pace_live_data,sensing_status,source_type,mission_type,ftp,tracking_status,program_id,title,reward_status,heart_rate_sample_count,start_latitude,mission_extra_value,program_schedule_id,heart_rate_deviceuuid,location_data_internal,custom_id,additional_internal,com.samsung.health.exercise.duration,com.samsung.health.exercise.additional,com.samsung.health.exercise.create_sh_ver,com.samsung.health.exercise.mean_caloricburn_rate,com.samsung.health.exercise.location_data,com.samsung.health.exercise.start_time,com.samsung.health.exercise.exercise_type,com.samsung.health.exercise.custom,com.samsung.health.exercise.max_altitude,com.samsung.health.exercise.incline_distance,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.count_type,com.samsung.health.exercise.mean_rpm,com.samsung.health.exercise.min_altitude,com.samsung.health.exercise.modify_sh_ver,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.update_time,com.samsung.health.exercise.create_time,com.samsung.health.exercise.client_data_id,com.samsung.health.exercise.max_power,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.client_data_ver,com.samsung.health.exercise.count,com.samsung.health.exercise.distance,com.samsung.health.exercise.max_caloricburn_rate,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.decline_distance,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.time_offset,com.samsung.health.exercise.deviceuuid,com.samsung.health.exercise.max_rpm,com.samsung.health.exercise.comment,com.samsung.health.exercise.live_data,com.samsung.health.exercise.mean_power,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.pkg_name,com.samsung.health.exercise.altitude_gain,com.samsung.health.exercise.altitude_loss,com.samsung.health.exercise.exercise_custom_type,com.samsung.health.exercise.auxiliary_devices,com.samsung.health.exercise.end_time,com.samsung.health.exercise.datauuid,com.samsung.health.exercise.sweat_loss
,,,,,,,,,,,,,,,,,,1,,,,,,,,,1080000,,,,,2023-01-20 08:51:00.000,1001,,,,,,,,,,2023-01-26 12:01:32.473,2023-01-22 04:00:55.637,,,,,,,,463.61002,,21.446877,,,,UTC+0000,7MBL6oqjtV,,,697d19ed-96df-4028-a358-cb9f175fd652.com.samsung.health.exercise.live_data.json,,,com.google.android.apps.fitness,,,,,2023-01-20 09:09:00.000,697d19ed-96df-4028-a358-cb9f175fd652,,
de10187c-fba3-4c00-8de5-3f75e23c840f.live_data_internal.json,,,,,,85.0,,,,,de10187c-fba3-4c00-8de5-3f75e23c840f.sensing_status.json,4,,,,,,,695,,,,,,,,872188,,,,,2022-11-23 10:14:46.091,1001,,,,115.0,30001,,,,128.0,2022-11-23 10:30:54.347,2022-11-23 10:30:54.347,,,1.4722222,71.75059,97.0,,1043,787.18,,85.0,102.0,,,UTC+0530,ws0Z2n1c+Y,,,de10187c-fba3-4c00-8de5-3f75e23c840f.com.samsung.health.exercise.live_data.json,,0.9025348,com.sec.android.app.shealth,,,,,2022-11-23 10:29:18.279,de10187c-fba3-4c00-8de5-3f75e23c840f,,
,,,,,,,,,,,,,,,,,,1,,,,,,,,,1920000,,,,,2023-01-18 09:56:00.000,1001,,,,,,,,,,2023-01-26 12:01:31.102,2023-01-22 04:00:55.163,,,,,,,,815.3901,,38.127777,,,,UTC+0000,7MBL6oqjtV,,,f3a0b6ff-82e7-4916-8464-5d2fc22ba94c.com.samsung.health.exercise.live_data.json,,,com.google.android.apps.fitness,,,,,2023-01-18 10:28:00.000,f3a0b6ff-82e7-4916-8464-5d2fc22ba94c,,
,,,,,,,,,,,,,,,,,,1,,,,,,,,,720000,,,,,2023-01-20 10:19:00.000,1001,,,,,,,,,,2023-01-26 12:01:32.624,2023-01-22 04:00:55.532,,,,,,,,383.19,,14.297917,,,,UTC+0000,7MBL6oqjtV,,,46285af7-acd0-4a1a-92fc-2cb98ca31d36.com.samsung.health.exercise.live_data.json,,,com.google.android.apps.fitness,,,,,2023-01-20 10:31:00.000,46285af7-acd0-4a1a-92fc-2cb98ca31d36,,
e879a4bb-24bc-4863-91ee-4b6425f92437.live_data_internal.json,,,,,,78.0,,,,,e879a4bb-24bc-4863-91ee-4b6425f92437.sensing_status.json,4,,,,,,,639,,,,,,,,791679,,,,,2023-02-22 08:47:46.312,1001,,,,106.0,30001,,,,122.0,2023-02-22 09:02:33.102,2023-02-22 09:02:33.102,,,1.2845184,66.92106,84.0,,883,648.93,,78.0,100.0,,,UTC+0530,BAL2wTUNJW,,,e879a4bb-24bc-4863-91ee-4b6425f92437.com.samsung.health.exercise.live_data.json,,0.81968826,com.sec.android.app.shealth,,,,,2023-02-22 09:00:57.991,e879a4bb-24bc-4863-91ee-4b6425f92437,,
,,,,,,,,,,,,,,,,,,1,,,,,,,,,1620000,,,,,2023-01-18 05:05:00.000,1001,,,,,,,,,,2023-01-26 12:01:30.805,2023-01-22 04:00:55.045,,,,,,,,998.51996,,32.17031,,,,UTC+0000,7MBL6oqjtV,,,103d0b5a-5f74-4bf4-8be5-0b2f77de82e5.com.samsung.health.exercise.live_data.json,,,com.google.android.apps.fitness,,,,,2023-01-18 05:32:00.000,103d0b5a-5f74-4bf4-8be5-0b2f77de82e5,,
,,,,,,,,,,,,,,,,,,1,,,,,,,,,1560000,,,,,2023-01-17 08:26:00.000,1001,,,,,,,,,,2023-01-26 12:01:30.033,2023-01-22 04:00:55.658,,,,,,,,998.44006,,30.978819,,,,UTC+0000,7MBL6oqjtV,,,72286502-1757-4e65-9192-2a054fa5df3b.com.samsung.health.exercise.live_data.json,,,com.google.android.apps.fitness,,,,,2023-01-17 08:52:00.000,72286502-1757-4e65-9192-2a054fa5df3b,,
abcca7cd-bf93-4531-b184-07387e1e247b.live_data_internal.json,,,,,,81.0,,,,,abcca7cd-bf93-4531-b184-07387e1e247b.sensing_status.json,4,,,,,,,657,,,,,,,,830239,,,,,2022-11-12 04:30:35.943,1001,,,,100.0,30001,,,,111.0,2022-11-12 04:46:03.188,2022-11-12 04:46:03.188,,,1.1701666,87.4447,81.0,,1210,888.51,,81.0,96.0,,,UTC+0530,ws0Z2n1c+Y,,,abcca7cd-bf93-4531-b184-07387e1e247b.com.samsung.health.exercise.live_data.json,,1.0701858,com.sec.android.app.shealth,,,,,2022-11-12 04:44:26.182,abcca7cd-bf93-4531-b184-07387e1e247b,,
0ee46ada-5b5f-4e46-9296-7f8bf75b907b.live_data_internal.json,,,,,,70.0,,,,,0ee46ada-5b5f-4e46-9296-7f8bf75b907b.sensing_status.json,4,,,,,,,512,,,,,,,,681462,,,,,2023-03-01 14:23:07.106,1001,,,,102.0,30001,,,,108.0,2023-03-01 14:36:05.062,2023-03-01 14:36:05.062,,,1.4166666,64.09749,89.0,,728,532.62,,70.0,92.0,,,UTC+0530,bYyax5oN7W,,,0ee46ada-5b5f-4e46-9296-7f8bf75b907b.com.samsung.health.exercise.live_data.json,,0.7815843,com.sec.android.app.shealth,,,,,2023-03-01 14:34:28.568,0ee46ada-5b5f-4e46-9296-7f8bf75b907b,,
2b7d1da3-0334-4d80-8318-fcf9d62db107.live_data_internal.json,,,,,,104.0,,,,,2b7d1da3-0334-4d80-8318-fcf9d62db107.sensing_status.json,4,,,,,,,654,,,,,,,,722674,,,,,2023-03-06 22:10:21.960,1001,,,,86.0,30001,,,,111.0,2023-03-06 22:24:00.906,2023-03-06 22:24:00.906,,,3.5555553,89.002785,72.0,,1072,939.78,,104.0,149.0,,,UTC+0530,bYyax5oN7W,,,2b7d1da3-0334-4d80-8318-fcf9d62db107.com.samsung.health.exercise.live_data.json,,1.3004204,com.sec.android.app.shealth,,,,,2023-03-06 22:22:24.634,2b7d1da3-0334-4d80-8318-fcf9d62db107,,
